Run,Mtarget,Mimpactor,theta,vimpact,Mmoon
,Mearth,Mearth,Degree,vescape,Mlunar
cA01,0.90,0.10,30.0,1.35,0.03
cA02,0.90,0.10,32.5,1.30,0.05
cA03,0.90,0.10,32.5,1.50,0.10
cA04,0.90,0.10,35.0,1.30,0.16
cA05,0.90,0.10,35.0,1.35,0.20
cA06,0.90,0.10,35.0,2.00,0.02
cA07,0.90,0.10,45.0,1.00,0.53
cA08,0.90,0.10,48.0,1.00,1.50
cA09,0.90,0.10,50.0,1.00,0.68
cA10,0.90,0.10,53.0,1.00,0.89
cB01,0.90,0.15,32.5,1.15,0.10
cB02,0.90,0.15,35.0,1.15,0.23
cB03,0.90,0.15,35.0,1.20,0.53
cB04,0.90,0.15,40.0,1.10,1.20
cC01,0.90,0.20,30.0,1.30,0.52
cC02,0.90,0.20,32.5,1.20,0.90
cC03,0.90,0.20,32.5,1.25,1.01
cC04,0.90,0.20,32.5,1.30,1.12
cC05,0.90,0.20,35.0,1.15,1.32
cC06,0.90,0.20,35.0,1.20,1.24
cC07,0.90,0.20,45.0,1.00,1.30
cC08,0.90,0.20,50.0,1.00,3.16
fA01,0.90,0.20,30.0,1.30,0.95
fA02,0.90,0.20,35.0,1.20,1.18
fA03,0.90,0.20,32.5,1.25,1.16
fA04,0.90,0.20,35.0,1.25,1.33
fA05,0.90,0.20,40.0,1.10,1.17
fB01,0.90,0.10,30.0,1.35,0.03
fB02,0.90,0.10,35.0,1.30,0.38
fB03,0.90,0.10,40.0,1.10,0.31
fB04,0.90,0.10,45.0,1.00,0.39
fB05,0.90,0.10,48.0,1.00,0.72
fB06,0.90,0.20,30.0,1.30,1.48
fB07,0.90,0.20,30.0,1.35,1.63
iA01,0.90,0.20,15.0,1.50,-0.13
iA02,0.90,0.20,25.0,1.30,0.17
iA03,0.90,0.20,25.0,1.35,0.15
iA04,0.90,0.20,25.0,1.50,0.07
iA05,0.90,0.20,25.0,1.75,0.17
iA06,0.90,0.20,30.0,1.00,0.20
iA07,0.90,0.20,30.0,1.15,0.76
iA08,0.90,0.20,30.0,1.20,0.91
iA09,0.90,0.20,30.0,1.25,0.36
iA10,0.90,0.20,30.0,1.30,0.60
iA11,0.90,0.20,30.0,1.32,0.26
iA12,0.90,0.20,30.0,1.35,0.32
iA13,0.90,0.20,32.5,1.25,0.71
iA14,0.90,0.20,32.5,1.30,1.08
iA15,0.90,0.20,32.5,1.35,2.19
iA16,0.90,0.20,35.0,1.00,1.35
iA17,0.90,0.20,35.0,1.10,1.61
iA18,0.90,0.20,35.0,1.15,3.03
iA19,0.90,0.20,35.0,1.20,2.89
iA20,0.90,0.20,35.0,1.25,2.26
iA21,0.90,0.20,35.0,1.30,-0.01
iA22,0.90,0.20,40.0,1.15,8.14
iA23,0.90,0.20,45.0,1.00,2.04
iA24,0.90,0.20,45.0,1.15,0.09
iA25,0.90,0.20,45.0,1.20,0.01
iA26,0.90,0.20,45.0,1.25,0.01
iA27,0.90,0.20,60.0,1.00,0.96
iA28,0.90,0.20,60.0,1.15,0.00
